asdf_id,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2016.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
114,401.293485759,405.237493008,409.805176328,411.450752916,406.171278599,402.53459072,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,397.258150134,401.734409211,408.546083118,410.8052157,405.064074258,400.765990982,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,398.922425239,404.644297621,408.735356648,410.248377141,406.081152104,401.900885261,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,399.320469045,404.309045031,409.900499027,410.942329205,406.300982196,401.972040867,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,397.77645987,402.244365467,408.805834016,410.434583684,404.110060876,400.723120838,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,398.740840591,404.211829363,408.416513382,410.78026245,405.521315693,400.701262895,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,398.101073477,402.784438779,409.021204223,410.760235382,405.368364691,400.751330229,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,396.959642858,402.955817427,408.910111489,410.949810085,405.095503009,400.206773495,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,398.752583708,403.507105594,408.309420995,410.656831758,405.758115769,401.080673617,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,398.721688295,403.643802864,408.361369247,410.471287976,405.741986404,401.058412659,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,398.012995155,402.973219177,408.943065195,411.316302954,405.753403043,400.04666193,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,401.059500139,403.268607419,409.752774606,411.139990426,405.623854392,401.419982807,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,399.258133268,404.747230407,409.58155624,411.257018506,406.077539822,402.212664314,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,399.774398938,404.010619732,409.814440286,411.219357049,405.724505706,401.865099637,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,398.135749917,403.511088423,409.760732114,410.889270199,405.439661918,401.357635598,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,400.392016529,404.478080625,409.454928275,411.107831824,406.405150869,402.392900584,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,400.845848573,405.602643326,410.107405997,410.565801499,406.498951262,404.048679655,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,398.298266743,403.251552811,408.744180007,411.353433852,406.029223303,400.610918026,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,398.776382198,405.307371691,412.046301526,410.233242772,405.572711453,402.836676335,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,399.894759087,404.940819011,409.904238672,411.282621826,406.781538586,402.133951645,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,399.614862732,404.507256431,411.900041937,412.2353554,408.750780072,402.334237868,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,397.875771111,401.713620105,407.964224692,411.184869097,405.188962384,401.346702465,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,399.432480343,404.495144366,409.635877004,411.301013691,406.59116843,402.659950903,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,398.856315799,403.682891561,408.814898284,412.042401502,405.70469055,400.744008904,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,399.11667612,404.375231618,409.787895445,411.374453861,406.676276827,402.35916167,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,399.218668187,404.153928648,409.784166704,412.057045126,407.062634035,402.799565675,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,398.264303793,402.584258162,407.820312908,409.106253154,405.900668363,401.120070735,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,398.621099003,403.419245304,408.332790825,410.450800625,405.472627715,400.3225238,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,399.807171885,403.773772883,409.844699899,411.047993236,406.065621669,402.153364184,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,399.560911691,404.914854292,409.931336519,410.666883696,407.649262472,402.315699531,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,400.694805297,405.646257799,409.997836551,410.471628016,406.461620256,403.252876766,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,398.799578634,403.781465476,408.856025924,411.997108683,406.381197476,401.552309127,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,401.400983637,405.01282188,409.514683769,412.713119296,407.531122727,401.48017826,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,398.06768512,404.686094859,408.533387024,413.222564122,408.813104259,403.259731578,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,398.024370539,404.103365034,409.633225182,410.961436854,405.70971311,401.723805819,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,399.959719104,404.762084107,410.802366003,411.279743474,407.677154139,402.643543427,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,400.391313118,405.341433579,410.244817498,410.821358451,406.838374081,403.184150466,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,401.139919423,405.379676112,409.660551582,410.353179873,405.432184747,403.439959595,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,400.861225812,405.113485494,410.306698658,411.163895359,407.257281992,402.501367136,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,398.891737345,403.938485422,411.241092275,411.025944737,409.414936092,402.861708968,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,398.598093237,404.149054929,410.765334408,410.860831902,409.929064092,402.555814017,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,398.093365424,405.190037272,409.466761119,411.755860791,406.33614311,403.971143534,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,400.698592459,404.923703622,410.229847944,411.665840849,406.952300597,402.116320681,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,401.442373089,404.668050271,408.7562215,410.137217751,404.941048777,403.2725631,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,400.579691905,404.414766812,408.138779427,409.499395071,405.362554995,403.013729456,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,401.233891799,404.973497237,409.043246594,410.605770995,406.143211429,402.493487608,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,400.105629136,404.625556572,409.08364063,410.468307419,405.93996213,402.109692234,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,399.198073309,404.483610146,406.611047358,408.914276151,405.650811426,401.791680446,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,399.964555848,403.387968411,409.470457045,410.993068943,406.973865343,401.214104937,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,399.605782056,405.295069623,409.750066127,412.555525889,407.301033364,403.191766064,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,399.695931277,405.047299019,409.887915649,411.990909822,407.566756165,403.044878701,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,400.068752176,405.333250474,409.94978773,412.784216089,407.466242426,402.736920408,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,398.421990943,404.55817,409.867155288,411.966002917,406.853360556,403.271707836,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
