asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop,ntl,tr6_ntl,tr100_ntl,tr400_ntl,NTL,t6NTL,t100NTL,t400NTL,ln_NTLpc,ln_t6NTLpc,ln_t100NTLpc,ln_t400NTLpc
7,Acasio,BOL-ADM3-33444609B19396342,2019,6485.4453,6479.2593,6476.4175,6474.9663,21.27515602111816,20.10503,18.625954,18.437489,2127515648,2010503040,1862595328,1843748864,12.700905,12.645289,12.569314,12.559368
7,Acasio,BOL-ADM3-33444609B19396342,2020,6517.0322,6510.9609,6501.4614,6498.7651,27.53405380249023,28.576809,24.554344,23.930845,2753405440,2857680896,2455434496,2393084416,12.95393,12.992034,12.841787,12.816482
8,Huanuni,BOL-ADM3-33444609B48998442,2012,24172.211,24420.379,24435.662,24442.537,434.3235168457031,452.50064,451.41534,451.20789,43432349696,45250064384,45141532672,45120790528,14.401511,14.432297,14.42927,14.428529
8,Huanuni,BOL-ADM3-33444609B48998442,2013,25006.039,24978.543,24967.518,24968.326,528.19189453125,492.15448,490.12357,489.96841,52819189760,49215447040,49012355072,48996839424,14.563268,14.493701,14.490007,14.489658
8,Huanuni,BOL-ADM3-33444609B48998442,2014,25643,25550.928,25511.045,25505.986,546.3309936523438,531.78467,531.94495,532.00787,54633099264,53178466304,53194493952,53200785408,14.571879,14.548491,14.550354,14.550671
8,Huanuni,BOL-ADM3-33444609B48998442,2015,26234.617,26115.848,26064.145,26055.049,538.1737670898438,573.5647,577.32056,577.6521,53817376768,57356468224,57732055040,57765208064,14.534027,14.602254,14.610763,14.611686
8,Huanuni,BOL-ADM3-33444609B48998442,2016,26747.563,26665.043,26625.984,26615.398,596.0746459960938,623.12964,626.9469,627.31177,59607465984,62312964096,62694690816,62731177984,14.616848,14.664327,14.6719,14.672879
8,Huanuni,BOL-ADM3-33444609B48998442,2017,27025.199,27209.355,27197.344,27187.307,704.9302368164063,681.1366,681.2016,681.33411,70493020160,68113657856,68120158208,68133408768,14.774255,14.733128,14.733665,14.734228
8,Huanuni,BOL-ADM3-33444609B48998442,2018,27778.363,27774.443,27780.324,27771.451,761.9534912109375,742.98016,740.11603,740.00165,76195348480,74298015744,74011598848,74000162816,14.824553,14.799479,14.795404,14.795569
8,Huanuni,BOL-ADM3-33444609B48998442,2019,28360.246,28357.246,28375.426,28368.092,817.8734130859375,806.5296,803.89874,803.66724,81787338752,80652959744,80389873664,80366723072,14.874644,14.860784,14.856875,14.856846
8,Huanuni,BOL-ADM3-33444609B48998442,2020,28972.629,28955.094,28983.189,28977.553,853.3568725585938,872.42249,872.9801,872.76031,85335687168,87242252288,87298007040,87276027904,14.895752,14.918453,14.918122,14.918065
