asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop
21,Sicaya,BOL-ADM3-33444609B28043407,2012,3332.0154,3252.717,3245.1663,3252.7759
21,Sicaya,BOL-ADM3-33444609B28043407,2013,3445.7061,3397.4688,3392.3176,3399.3647
21,Sicaya,BOL-ADM3-33444609B28043407,2014,3569.1572,3540.4546,3546.9468,3553.271
21,Sicaya,BOL-ADM3-33444609B28043407,2015,3513.5991,3692.4749,3710.209,3715.0134
21,Sicaya,BOL-ADM3-33444609B28043407,2016,3903.2271,3871.2786,3883.6775,3885.1963
21,Sicaya,BOL-ADM3-33444609B28043407,2017,4113.7363,4065.749,4066.9319,4063.9194
21,Sicaya,BOL-ADM3-33444609B28043407,2018,4285.1553,4267.957,4259.6128,4251.2852
21,Sicaya,BOL-ADM3-33444609B28043407,2019,4481.3271,4476.6211,4461.7251,4447.502
21,Sicaya,BOL-ADM3-33444609B28043407,2020,4678.9878,4693.2085,4673.4805,4652.8369
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2012,16228.074,16276.853,16297.713,16300.837
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2013,16652.111,16655.873,16675.166,16679.525
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2014,17069.848,17049.717,17062.664,17067.336
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2015,17455.322,17453.973,17460.199,17464.43
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2016,17888.799,17867.166,17867.762,17871.018
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2017,18274.828,18287.838,18285.326,18287.229
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2018,18719.854,18718.076,18713.061,18713.258
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2019,19159.529,19157.869,19151.002,19149.285
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2020,19605.055,19607.604,19599.246,19595.51
23,Capinota,BOL-ADM3-33444609B45253703,2012,19365.395,19463.85,19484.297,19489.482
23,Capinota,BOL-ADM3-33444609B45253703,2013,19627.906,19712.881,19724.615,19727.043
23,Capinota,BOL-ADM3-33444609B45253703,2014,19975.002,19980.758,19969.27,19968.127
23,Capinota,BOL-ADM3-33444609B45253703,2015,20480.787,20247.445,20216.496,20212.293
23,Capinota,BOL-ADM3-33444609B45253703,2016,20470.789,20490.922,20464.5,20459.055
23,Capinota,BOL-ADM3-33444609B45253703,2017,20663.131,20726.156,20714.102,20708.553
23,Capinota,BOL-ADM3-33444609B45253703,2018,20945.201,20965.51,20966.189,20961.053
23,Capinota,BOL-ADM3-33444609B45253703,2019,21195.461,21211.674,21221.184,21216.611
23,Capinota,BOL-ADM3-33444609B45253703,2020,21485.049,21464.086,21479.361,21475.305
24,Arque,BOL-ADM3-33444609B98674568,2012,10327.212,10353.896,10353.777,10351.507
24,Arque,BOL-ADM3-33444609B98674568,2013,10237.01,10249.063,10255.516,10254.88
24,Arque,BOL-ADM3-33444609B98674568,2014,10147.284,10148.696,10158.331,10159.058
24,Arque,BOL-ADM3-33444609B98674568,2015,10045.912,10052.467,10062.433,10064.121
24,Arque,BOL-ADM3-33444609B98674568,2016,9969.5898,9959.8271,9967.9043,9970.1104
24,Arque,BOL-ADM3-33444609B98674568,2017,9871.7617,9869.2285,9874.6797,9877.043
24,Arque,BOL-ADM3-33444609B98674568,2018,9774.0898,9780.7031,9782.6992,9784.9102
24,Arque,BOL-ADM3-33444609B98674568,2019,9691.2051,9694.6729,9691.8809,9693.7109
24,Arque,BOL-ADM3-33444609B98674568,2020,9617.5342,9610.5166,9602.0615,9603.3887
25,Corocoro,BOL-ADM3-33444609B17270625,2012,10643.098,10653.253,10645.423,10650.754
