asdf_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
138,7813.8169,7759.4033,7710.3862,7651.5366,7623.417,7555.2969,7523.1299,7488.7085,7426.5146,7364.8281,7329.1558,7309.1782,7240.2363,7218.3906,7138.9814,7106.6006,7071.6226,7023.8574,6983.4136,6939.0415
139,8682.5264,8753.0781,8846.96,8945.1885,9036.4609,9127.5684,9216.1182,9312.2051,9404.7773,9502.0342,9593.6016,9674.3076,9768.7422,9879.2275,9988.8818,10085.434,10186.747,10281.724,10389.74,10488.479
140,11365.158,11291.245,11079.8,10843.127,10604.759,10471.836,10316.935,10190.984,10078.976,9893.8223,9755.4258,9494.0664,9332.8262,9251.373,9072.6084,8981.9512,8828.71,8702.2373,8566.2207,8459.0059
141,24815.508,25147.131,25618.961,25954.855,25584.055,26070.617,26377.105,26736.348,27091.064,27244.191,27481.898,27142.094,27539.602,28000.979,28585.717,28574.363,28682.957,29033.57,29251.105,29564.254
142,26482.836,26808.35,27160.074,27842.676,28231.414,28767.211,29284.426,29522.527,29781.598,30439.912,30684.113,30730.863,31298.531,31869.727,32448.621,32729.289,33048.844,33590.098,34044.867,34551.109
143,19613.752,19897.195,20050.492,19986.58,20389.086,20641.367,20685.096,21053.295,21536.617,21552.359,22128.809,22455.648,22650.305,22959.188,23315.535,23667.98,23985.852,24283.797,24568.9,24856.25
144,8048.0957,8211.5234,8347.5156,8572.1504,8738.209,8686.5,8959.6631,9206.3701,9389.585,9357.0605,9616.0127,10003.08,10195.737,10395.561,10618.526,10814.787,11092.16,11307.662,11553.411,11800.474
145,4503.0083,4529.1416,4537.1724,4567.0327,4573.5898,4598.5044,4632.1567,4649.1519,4665.2656,4712.8198,4709.6807,4694.3105,4732.1211,4789.165,4839.1724,4844.0454,4841.791,4864.8447,4901.1318,4935.7393
146,2221.2825,2499.6477,2816.9282,3173.9587,3572.7,4022.3979,4524.8589,5097.8315,5738.5923,6463.6094,7276.335,8187.1621,9219.2139,10380.714,11689.264,13158.356,14812.439,16678.1,18780.93,21145.764
147,3455.0686,3722.7139,4000.4639,4290.7651,4611.9028,4957.2959,5323.5063,5719.0293,6144.9102,6603.4907,7093.6748,7612.4263,8185.0054,8793.4795,9447.5273,10154.095,10909.563,11726.342,12598.991,13538.121
148,7742.8477,7806.1587,7496.7046,7602.3574,7212.5249,7576.6475,7576.9722,7553.48,7529.3677,7654.3115,7680.3057,7564.3081,7749.3223,7641.8652,7927.4312,7734.6558,7648.2949,7682.6387,7726.6304,7772.3896
149,4145.7446,4225.8203,4336.1543,4439.0918,4613.6465,4700.2031,4804.8799,4970.7471,5123.1631,5230.499,5422.8862,5603.0693,5759.5503,5879.9551,6021.9692,6203.3359,6402.3047,6601.707,6797.3037,6995.6226
150,4078.2627,4078.4302,4101.1357,4111.8223,4102.8364,4083.3616,4107.9678,4118.1992,4106.458,4091.0845,4092.5322,4145.8696,4107.3794,4106.0869,4104.8916,4128.105,4157.4067,4155.8325,4167.1553,4181.8936
151,11885.448,11961.911,12070.003,12051.053,12154.207,12187.387,12109.607,12216.631,12119.198,12172.176,12266.582,12418.666,12399.635,12452.483,12464.576,12582.823,12678.666,12719.208,12770.576,12857.793
