asdf_id,shapeName,year,ntl,tr6_ntl,tr100_ntl,tr400_ntl
29,Colquiri,2019,179.1295623779297,185.89017,185.06836,184.96954
29,Colquiri,2020,190.8540191650391,192.47588,193.01668,192.92319
30,Ichoca,2012,8.308321952819824,8.6662025,8.6389961,8.6578588
30,Ichoca,2013,10.8964376449585,8.9334393,9.0148802,9.0291462
30,Ichoca,2014,8.66356372833252,9.1469812,9.4034319,9.4153852
30,Ichoca,2015,8.179697036743164,9.5384617,9.8197002,9.8207493
30,Ichoca,2016,6.888190269470215,10.297221,10.272857,10.247886
30,Ichoca,2017,14.02084827423096,11.413605,10.75402,10.694924
30,Ichoca,2018,20.98544883728027,12.08005,11.207416,11.148465
30,Ichoca,2019,10.91421222686768,11.733761,11.59885,11.600554
30,Ichoca,2020,8.707847595214844,10.982011,11.965851,12.06115
31,La Guardia,2012,2098.215087890625,2125.7292,2243.1543,2262.7148
31,La Guardia,2013,2529.100830078125,2473.3408,2531.2556,2539.4233
31,La Guardia,2014,2560.52099609375,2871.803,2854.448,2849.4326
31,La Guardia,2015,3569.9736328125,3332.4492,3214.5862,3196.0498
31,La Guardia,2016,3909.919921875,3799.9954,3608.9316,3581.7688
31,La Guardia,2017,4392.0126953125,4233.1899,4036.188,4009.8533
31,La Guardia,2018,4823.3193359375,4601.0391,4497.2085,4484.5571
31,La Guardia,2019,4772.8740234375,4901.6772,4996.8481,5011.6621
31,La Guardia,2020,4931.78076171875,5180.937,5545.4893,5598.9487
32,Moromoro,2012,10.75018787384033,11.319449,11.05791,11.018014
32,Moromoro,2013,12.54299449920654,11.358552,11.2112,11.194896
32,Moromoro,2014,12.10293483734131,11.304088,11.363406,11.373901
32,Moromoro,2015,10.68487930297852,11.242656,11.524096,11.557642
32,Moromoro,2016,8.184959411621094,11.383493,11.710799,11.750692
32,Moromoro,2017,16.54830360412598,11.856913,11.933212,11.955585
32,Moromoro,2018,12.4032154083252,12.177304,12.158343,12.164026
32,Moromoro,2019,10.68546390533447,12.467364,12.391171,12.377211
32,Moromoro,2020,13.80158805847168,12.902633,12.639565,12.596991
33,El Torno,2012,551.7857666015625,569.73218,580.16412,581.67102
33,El Torno,2013,633.8984375,606.65027,609.28259,609.75226
33,El Torno,2014,623.5037231445313,642.65979,639.54285,639.1051
33,El Torno,2015,704.4967041015625,678.62347,670.89771,669.75977
33,El Torno,2016,677.7981567382813,712.20941,703.11084,701.69873
33,El Torno,2017,786.5810546875,745.14868,736.25256,734.98975
33,El Torno,2018,786.1973876953125,773.42786,770.13043,769.63849
33,El Torno,2019,757.4124755859375,799.43695,805.04187,805.77618
33,El Torno,2020,839.8010864257813,828.16528,841.51831,843.60101
34,Samaipata,2012,267.2312622070313,273.7962,264.14172,262.93185
34,Samaipata,2013,322.1723937988281,277.06589,274.17822,273.8082
34,Samaipata,2014,262.7900390625,279.28796,284.62915,285.1459
34,Samaipata,2015,246.7674255371094,286.17294,296.02451,297.09753
34,Samaipata,2016,287.4664916992188,301.21603,308.73169,309.77692
34,Samaipata,2017,353.6671752929688,321.41556,322.59293,323.16196
34,Samaipata,2018,379.083740234375,340.58047,337.17291,337.15942
34,Samaipata,2019,332.4271545410156,356.45383,352.27209,351.73566
34,Samaipata,2020,371.4494018554688,372.8436,368.08044,366.95258
35,San Lucas,2012,36.52866363525391,34.70639,31.827726,31.496187
35,San Lucas,2013,41.83254623413086,36.635376,36.031506,35.938915
35,San Lucas,2014,35.24997711181641,38.989601,40.846802,41.023495
35,San Lucas,2015,38.66165542602539,43.08493,46.502735,46.879974
35,San Lucas,2016,34.50342559814453,50.095734,53.241463,53.652493
35,San Lucas,2017,77.33673095703125,61.039894,61.274239,61.488251
35,San Lucas,2018,97.84434509277344,73.129913,70.547745,70.480225
35,San Lucas,2019,84.61580657958984,83.949631,81.058052,80.748665
35,San Lucas,2020,82.16367340087891,94.273399,93.018822,92.485786
36,Culpina,2012,24.10202026367188,22.126801,21.207378,21.082716
36,Culpina,2013,22.87116432189941,25.392851,25.186787,25.145649
36,Culpina,2014,31.27726554870605,29.542366,29.95121,30.001638
36,Culpina,2015,31.4328670501709,34.737186,35.673725,35.810822
36,Culpina,2016,42.26967239379883,41.533596,42.58923,42.771988
36,Culpina,2017,56.8751220703125,49.99789,50.938229,51.112339
36,Culpina,2018,60.54277801513672,60.167992,60.999043,61.100815
36,Culpina,2019,56.35419464111328,73.368958,73.174423,73.075394
36,Culpina,2020,109.3693313598633,91.979492,87.971413,87.445786
37,Incahuasi,2012,7.61771297454834,8.8185892,9.991971,10.162804
37,Incahuasi,2013,11.95490074157715,11.565669,11.896964,11.954217
37,Incahuasi,2014,15.57329177856445,14.81734,14.126755,14.05127
37,Incahuasi,2015,22.42501449584961,18.210697,16.684483,16.49243
37,Incahuasi,2016,18.92819213867188,21.253216,19.566538,19.320847
37,Incahuasi,2017,26.58461761474609,24.105431,22.81377,22.598141
37,Incahuasi,2018,23.77976989746094,26.69302,26.470798,26.395777
37,Incahuasi,2019,29.47490501403809,29.449427,30.640493,30.810505
37,Incahuasi,2020,32.04208374023438,32.428185,35.431301,35.953175
38,San Juan,2012,140.9921875,140.10091,141.34416,141.65022
38,San Juan,2013,167.0856018066406,156.35081,157.75963,157.93484
38,San Juan,2014,148.8681335449219,174.66263,176.07719,176.08961
38,San Juan,2015,207.1806488037109,197.60411,196.62434,196.35451
38,San Juan,2016,217.2909698486328,223.2738,219.43692,218.91312
38,San Juan,2017,279.5167846679688,250.3607,244.59982,243.98337
38,San Juan,2018,289.9571533203125,275.63431,272.12653,271.78781
38,San Juan,2019,267.0075073242188,300.01654,302.36151,302.6575
38,San Juan,2020,335.2417907714844,327.74054,335.9494,337.0289
39,Tinguipaya,2012,15.61236763000488,16.942377,16.415791,16.326954
39,Tinguipaya,2013,19.4713134765625,17.306911,16.93346,16.892717
39,Tinguipaya,2014,19.12950134277344,17.449539,17.458694,17.476151
39,Tinguipaya,2015,19.11386108398438,17.465221,18.007292,18.082083
39,Tinguipaya,2016,11.00561809539795,17.712736,18.614056,18.720264
39,Tinguipaya,2017,20.9065055847168,18.848639,19.330099,19.404423
39,Tinguipaya,2018,27.02913284301758,20.195389,20.10898,20.123407
39,Tinguipaya,2019,18.04842376708984,21.256784,20.912785,20.868116
39,Tinguipaya,2020,23.0645866394043,22.46796,21.761332,21.643812
40,San Pedro,2012,19.55653381347656,18.505167,17.842844,17.783283
40,San Pedro,2013,24.7978630065918,23.280689,23.303257,23.298191
40,San Pedro,2014,25.80224227905273,29.548733,30.462646,30.530645
40,San Pedro,2015,38.0858154296875,38.560947,39.919468,40.033535
40,San Pedro,2016,38.99861907958984,51.597591,52.43433,52.52602
40,San Pedro,2017,94.62008666992188,70.457642,68.992813,68.947952
40,San Pedro,2018,109.1332092285156,93.440613,90.616028,90.463882
40,San Pedro,2019,110.4160766601563,120.06894,118.75455,118.62891
40,San Pedro,2020,144.4551391601563,152.89101,155.51566,155.53435
41,Villa Ancoraimes,2012,35.16519927978516,32.364109,30.70274,30.513645
41,Villa Ancoraimes,2013,36.46433258056641,36.858822,36.647747,36.600945
41,Villa Ancoraimes,2014,40.32537078857422,42.538979,43.803337,43.918114
41,Villa Ancoraimes,2015,46.83601760864258,50.329323,52.495674,52.73502
41,Villa Ancoraimes,2016,53.44528961181641,61.227974,63.111103,63.37479
41,Villa Ancoraimes,2017,88.89543151855469,75.941902,76.061646,76.21209
41,Villa Ancoraimes,2018,99.25643920898438,93.170639,91.684181,91.656731
41,Villa Ancoraimes,2019,116.6616134643555,112.49847,110.44868,110.21698
41,Villa Ancoraimes,2020,125.5283126831055,134.36546,132.97697,132.51793
42,"Colcha ""K""",2012,1603.752796173096,1551.901,1502.4078,1496.2251
42,"Colcha ""K""",2013,1614.58948135376,1581.7942,1572.1301,1570.4639
42,"Colcha ""K""",2014,1562.734378814697,1620.7639,1646.1648,1648.6754
42,"Colcha ""K""",2015,1586.207466125488,1683.7694,1726.397,1731.5017
42,"Colcha ""K""",2016,1716.221130371094,1778.3438,1814.1104,1819.4434
42,"Colcha ""K""",2017,2045.438842773438,1896.4703,1909.1875,1912.6465
42,"Colcha ""K""",2018,2068.027587890625,2016.6578,2010.2981,2010.9424
42,"Colcha ""K""",2019,2086.105224609375,2137.4016,2117.1995,2114.4431
42,"Colcha ""K""",2020,2270.21997833252,2266.0447,2230.1855,2223.3813
43,Puerto Mayor de Carabuco,2012,42.27807235717773,46.452026,50.093441,50.675613
43,Puerto Mayor de Carabuco,2013,63.85326385498047,58.388493,59.773365,60.002045
43,Puerto Mayor de Carabuco,2014,75.5325927734375,72.294884,71.202705,71.012688
43,Puerto Mayor de Carabuco,2015,78.86577606201172,88.108772,84.586273,83.980698
43,Puerto Mayor de Carabuco,2016,103.5916061401367,106.36098,100.16648,99.228447
