asdf_id,shapeName,shapeID,year,co,tr6_co,tr100_co,tr400_co
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2017,403.33109,403.97009,403.94217,403.94025
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2018,406.0903,406.32101,406.31073,406.30975
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2019,408.95456,408.69318,408.69318,408.69318
22,Puerto Quijarro,BOL-ADM3-33444609B22047407,2020,410.95529,411.06216,411.08823,411.09021
23,Capinota,BOL-ADM3-33444609B45253703,2015,399.8317,399.18298,399.01038,398.9986
23,Capinota,BOL-ADM3-33444609B45253703,2016,401.16803,401.42621,401.46793,401.47043
23,Capinota,BOL-ADM3-33444609B45253703,2017,403.19742,403.78696,403.94891,403.95969
23,Capinota,BOL-ADM3-33444609B45253703,2018,405.19339,406.33087,406.45877,406.46771
23,Capinota,BOL-ADM3-33444609B45253703,2019,410.85245,409.02969,408.99576,408.99438
23,Capinota,BOL-ADM3-33444609B45253703,2020,411.19205,411.67004,411.54523,411.5358
24,Arque,BOL-ADM3-33444609B98674568,2015,400.69821,399.64752,399.37262,399.35376
24,Arque,BOL-ADM3-33444609B98674568,2016,400.94403,401.56003,401.62149,401.62534
24,Arque,BOL-ADM3-33444609B98674568,2017,402.96744,403.65103,403.89651,403.91327
24,Arque,BOL-ADM3-33444609B98674568,2018,404.95984,405.99429,406.20438,406.2193
24,Arque,BOL-ADM3-33444609B98674568,2019,409.86502,408.55444,408.54276,408.54276
24,Arque,BOL-ADM3-33444609B98674568,2020,411.10864,411.12766,410.89697,410.88031
25,Corocoro,BOL-ADM3-33444609B17270625,2015,399.82083,399.93384,399.9859,399.98972
25,Corocoro,BOL-ADM3-33444609B17270625,2016,402.30295,402.33646,402.33282,402.33243
25,Corocoro,BOL-ADM3-33444609B17270625,2017,405.0188,404.73517,404.69156,404.68848
25,Corocoro,BOL-ADM3-33444609B17270625,2018,406.56137,407.10587,407.06064,407.05734
25,Corocoro,BOL-ADM3-33444609B17270625,2019,410.42209,409.46976,409.44122,409.43948
25,Corocoro,BOL-ADM3-33444609B17270625,2020,411.21774,411.76056,411.82947,411.8342
26,San Benito,BOL-ADM3-33444609B19104054,2015,398.3244,398.01505,397.96228,397.95868
26,San Benito,BOL-ADM3-33444609B19104054,2016,400.04089,400.42789,400.44583,400.44699
26,San Benito,BOL-ADM3-33444609B19104054,2017,402.9382,402.9053,402.94873,402.95181
26,San Benito,BOL-ADM3-33444609B19104054,2018,405.2796,405.43616,405.47055,405.47308
26,San Benito,BOL-ADM3-33444609B19104054,2019,408.2236,408.01401,408.01089,408.01071
26,San Benito,BOL-ADM3-33444609B19104054,2020,410.59961,410.60709,410.56735,410.56461
27,Sapahaqui,BOL-ADM3-33444609B66518212,2015,400.91425,400.84607,400.80096,400.79791
27,Sapahaqui,BOL-ADM3-33444609B66518212,2016,402.59924,402.64334,402.6445,402.64468
27,Sapahaqui,BOL-ADM3-33444609B66518212,2017,405.022,404.45969,404.49768,404.50037
27,Sapahaqui,BOL-ADM3-33444609B66518212,2018,404.68063,406.2991,406.36111,406.36517
27,Sapahaqui,BOL-ADM3-33444609B66518212,2019,409.64807,408.25668,408.24112,408.24054
27,Sapahaqui,BOL-ADM3-33444609B66518212,2020,409.81458,410.16739,410.12671,410.12357
28,Cairoma,BOL-ADM3-33444609B10766550,2015,398.42618,398.93448,399.15292,399.16833
28,Cairoma,BOL-ADM3-33444609B10766550,2016,401.54495,401.51254,401.49207,401.49054
28,Cairoma,BOL-ADM3-33444609B10766550,2017,404.24384,404.02481,403.83759,403.82431
28,Cairoma,BOL-ADM3-33444609B10766550,2018,407.09088,406.3923,406.1825,406.16797
28,Cairoma,BOL-ADM3-33444609B10766550,2019,408.97391,408.56946,408.52368,408.52075
28,Cairoma,BOL-ADM3-33444609B10766550,2020,409.7803,410.62335,410.86777,410.88461
29,Colquiri,BOL-ADM3-33444609B98493674,2015,399.41861,399.62598,399.64313,399.64429
29,Colquiri,BOL-ADM3-33444609B98493674,2016,402.65134,402.07428,402.06644,402.06586
29,Colquiri,BOL-ADM3-33444609B98493674,2017,403.77164,404.50385,404.50192,404.50153
29,Colquiri,BOL-ADM3-33444609B98493674,2018,407.42572,406.97406,406.9537,406.95233
29,Colquiri,BOL-ADM3-33444609B98493674,2019,409.45819,409.42621,409.41782,409.41742
29,Colquiri,BOL-ADM3-33444609B98493674,2020,411.75458,411.87405,411.89566,411.89703
30,Ichoca,BOL-ADM3-33444609B35095185,2015,399.74228,399.98859,400.04428,400.04828
30,Ichoca,BOL-ADM3-33444609B35095185,2016,403.00964,402.53067,402.52258,402.52203
30,Ichoca,BOL-ADM3-33444609B35095185,2017,404.34839,405.0491,405.01297,405.0101
30,Ichoca,BOL-ADM3-33444609B35095185,2018,408.28726,407.5802,407.51761,407.51352
30,Ichoca,BOL-ADM3-33444609B35095185,2019,410.06979,410.04828,410.03168,410.0307
30,Ichoca,BOL-ADM3-33444609B35095185,2020,412.23138,412.49002,412.55789,412.56241
31,La Guardia,BOL-ADM3-33444609B27516383,2015,398.68805,398.40408,398.31842,398.31253
31,La Guardia,BOL-ADM3-33444609B27516383,2016,400.8399,400.92999,400.94623,400.94739
31,La Guardia,BOL-ADM3-33444609B27516383,2017,403.20819,403.51807,403.59521,403.60043
31,La Guardia,BOL-ADM3-33444609B27516383,2018,406.03741,406.20071,406.26791,406.27277
31,La Guardia,BOL-ADM3-33444609B27516383,2019,409.14307,408.96164,408.96378,408.96417
31,La Guardia,BOL-ADM3-33444609B27516383,2020,411.85492,411.75684,411.67929,411.6738
32,Moromoro,BOL-ADM3-33444609B65462728,2015,398.64563,398.43848,398.38663,398.38321
32,Moromoro,BOL-ADM3-33444609B65462728,2016,400.65573,400.54227,400.56061,400.56177
32,Moromoro,BOL-ADM3-33444609B65462728,2017,401.87473,402.69077,402.74915,402.75281
32,Moromoro,BOL-ADM3-33444609B65462728,2018,405.0517,404.93652,404.95581,404.95737
32,Moromoro,BOL-ADM3-33444609B65462728,2019,407.92914,407.2012,407.17557,407.17441
32,Moromoro,BOL-ADM3-33444609B65462728,2020,409.0773,409.4231,409.40433,409.40259
33,El Torno,BOL-ADM3-33444609B3283622,2015,398.94943,398.74716,398.61407,398.60477
33,El Torno,BOL-ADM3-33444609B3283622,2016,401.49753,401.21112,401.21896,401.21973
33,El Torno,BOL-ADM3-33444609B3283622,2017,403.4111,403.72302,403.84415,403.8526
33,El Torno,BOL-ADM3-33444609B3283622,2018,405.5545,406.36325,406.49619,406.50531
33,El Torno,BOL-ADM3-33444609B3283622,2019,409.53604,409.16293,409.17737,409.17834
33,El Torno,BOL-ADM3-33444609B3283622,2020,412.28439,412.02374,411.88016,411.87012
34,Samaipata,BOL-ADM3-33444609B3665426,2015,399.51932,399.23819,399.11087,399.10211
34,Samaipata,BOL-ADM3-33444609B3665426,2016,401.58994,401.38333,401.39941,401.40057
34,Samaipata,BOL-ADM3-33444609B3665426,2017,402.98322,403.58542,403.70514,403.71323
34,Samaipata,BOL-ADM3-33444609B3665426,2018,405.44983,405.92441,406.03436,406.0419
34,Samaipata,BOL-ADM3-33444609B3665426,2019,408.89182,408.38461,408.38599,408.38638
34,Samaipata,BOL-ADM3-33444609B3665426,2020,410.95663,410.87326,410.75339,410.74496
35,San Lucas,BOL-ADM3-33444609B75362770,2015,398.29236,398.46622,398.52228,398.52628
35,San Lucas,BOL-ADM3-33444609B75362770,2016,401.07739,400.82123,400.81683,400.81644
35,San Lucas,BOL-ADM3-33444609B75362770,2017,402.74765,403.16208,403.12228,403.1192
35,San Lucas,BOL-ADM3-33444609B75362770,2018,405.90912,405.50131,405.43884,405.4346
35,San Lucas,BOL-ADM3-33444609B75362770,2019,408.07138,407.7851,407.76312,407.76175
35,San Lucas,BOL-ADM3-33444609B75362770,2020,409.66263,410.02383,410.09641,410.10147
36,Culpina,BOL-ADM3-33444609B89526883,2015,397.91974,398.38663,398.45978,398.46469
36,Culpina,BOL-ADM3-33444609B89526883,2016,401.56479,400.75052,400.72757,400.72623
36,Culpina,BOL-ADM3-33444609B89526883,2017,402.4357,403.0527,403.00272,402.99908
36,Culpina,BOL-ADM3-33444609B89526883,2018,405.83029,405.34781,405.28848,405.28421
36,Culpina,BOL-ADM3-33444609B89526883,2019,407.57535,407.59146,407.58176,407.58096
36,Culpina,BOL-ADM3-33444609B89526883,2020,409.62177,409.81625,409.88525,409.89014
37,Incahuasi,BOL-ADM3-33444609B77799107,2015,397.77753,398.29279,398.41931,398.42804
